frecuencia_consumo_musica,donde_consumo_musica,plataformas_streaming_consumo_musica,redes_sociales_utilizadas_novedades_musicales,importancia_musica_diaria
3,"En casa","Spotify, YouTube Music","TikTok, YouTube",3.0000
3,"En casa, En el trabajo, En el transporte público, Mientras hago ejercicio","Spotify, Apple Music","Instagram, TikTok",3.0000
3,"En casa, En el trabajo, En transporte propio, En reuniones o fiestas","Spotify, YouTube Music","TikTok, Twitter/X",3.0000
3,"En casa, En el transporte público, En transporte propio, Mientras hago ejercicio, En reuniones o fiestas",Spotify,TikTok,3.0000
3,"En casa, En el transporte público, Mientras hago ejercicio, En reuniones o fiestas",Spotify,"No estoy al tanto de las tendencias",3.0000
3,"En casa, En la universidad, En el trabajo, En el transporte público, En transporte propio",Spotify,"Instagram, TikTok",3.0000
3,"En casa, En la universidad, En el trabajo, En el transporte público, En transporte propio, En reuniones o fiestas","Spotify, YouTube Music","Instagram, YouTube",3.0000
3,"En casa, En la universidad, En el trabajo, En el transporte público, En transporte propio, Mientras hago ejercicio","Spotify, Amazon Music","Instagram, TikTok, Twitter/X, YouTube, Facebook",3.0000
3,"En casa, En la universidad, En el trabajo, En el transporte público, En transporte propio, Mientras hago ejercicio, En reuniones o fiestas",Deezer,"Instagram, TikTok, YouTube",3.0000
3,"En casa, En la universidad, En el trabajo, En el transporte público, En transporte propio, Mientras hago ejercicio, En reuniones o fiestas",Spotify,"Instagram, TikTok, Twitter/X, YouTube",3.0000
3,"En casa, En la universidad, En el trabajo, En el transporte público, En transporte propio, Mientras hago ejercicio, En reuniones o fiestas",Spotify,"Instagram, TikTok, YouTube",2.5000
3,"En casa, En la universidad, En el trabajo, En el transporte público, En transporte propio, Mientras hago ejercicio, En reuniones o fiestas",Spotify,"Instagram, TikTok, YouTube, Facebook",3.0000
3,"En casa, En la universidad, En el trabajo, En el transporte público, En transporte propio, Mientras hago ejercicio, En reuniones o fiestas","Spotify, Apple Music, YouTube Music, Deezer",TikTok,3.0000
3,"En casa, En la universidad, En el trabajo, En el transporte público, En transporte propio, Mientras hago ejercicio, En reuniones o fiestas","Spotify, YouTube Music","Instagram, TikTok, YouTube",3.0000
3,"En casa, En la universidad, En el trabajo, En el transporte público, En transporte propio, Mientras hago ejercicio, En reuniones o fiestas","Spotify, YouTube Music","TikTok, YouTube",3.0000
3,"En casa, En la universidad, En el trabajo, En el transporte público, En transporte propio, Mientras hago ejercicio, En reuniones o fiestas","Spotify, YouTube Music, Amazon Music, Trebel","Instagram, TikTok, Twitter/X, YouTube",3.0000
3,"En casa, En la universidad, En el trabajo, En el transporte público, En transporte propio, Mientras hago ejercicio, En reuniones o fiestas","Spotify, YouTube Music, Apple music","Instagram, TikTok, YouTube",3.0000
3,"En casa, En la universidad, En el trabajo, En el transporte público, Mientras hago ejercicio","Apple Music, YouTube Music, Apple music, YouTube (Default)","TikTok, YouTube, No estoy al tanto de las tendencias",3.0000
3,"En casa, En la universidad, En el trabajo, En transporte propio, Mientras hago ejercicio, En reuniones o fiestas",Spotify,Instagram,3.0000
3,"En casa, En la universidad, En el trabajo, En transporte propio, Mientras hago ejercicio, En reuniones o fiestas",Spotify,"No estoy al tanto de las tendencias",2.0000
3,"En casa, En la universidad, En el trabajo, En transporte propio, Mientras hago ejercicio, En reuniones o fiestas","Spotify, Apple Music, YouTube Music",TikTok,3.0000
3,"En casa, En la universidad, En el transporte público, En reuniones o fiestas","YouTube Music","Instagram, TikTok, YouTube",3.0000
3,"En casa, En la universidad, En el transporte público, En transporte propio, En reuniones o fiestas",Spotify,"TikTok, Twitter/X",3.0000
3,"En casa, En la universidad, En el transporte público, En transporte propio, En reuniones o fiestas","Spotify, YouTube Music","Instagram, TikTok",3.0000
3,"En casa, En la universidad, En el transporte público, En transporte propio, Mientras hago ejercicio",Spotify,"Instagram, Facebook",3.0000
3,"En casa, En la universidad, En el transporte público, En transporte propio, Mientras hago ejercicio","Spotify, Apple Music, YouTube Music, Amazon Music, Deezer","Instagram, TikTok, Twitter/X, YouTube",3.0000
3,"En casa, En la universidad, En el transporte público, En transporte propio, Mientras hago ejercicio, En reuniones o fiestas",Spotify,"Instagram, TikTok",3.0000
3,"En casa, En la universidad, En el transporte público, En transporte propio, Mientras hago ejercicio, En reuniones o fiestas","Spotify, Apple Music","Instagram, TikTok",3.0000
3,"En casa, En la universidad, En el transporte público, Mientras hago ejercicio","Apple Music, YouTube Music",Instagram,3.0000
3,"En casa, En la universidad, En el transporte público, Mientras hago ejercicio",Spotify,"Instagram, TikTok, YouTube, Facebook",3.0000
3,"En casa, En la universidad, En el transporte público, Mientras hago ejercicio",Spotify,"Instagram, Twitter/X, No estoy al tanto de las tendencias",3.0000
3,"En casa, En la universidad, En el transporte público, Mientras hago ejercicio","Spotify, YouTube Music, Amazon Music",TikTok,3.0000
3,"En casa, En la universidad, En el transporte público, Mientras hago ejercicio, En reuniones o fiestas",Spotify,"Instagram, TikTok",2.0000
3,"En casa, En la universidad, En el transporte público, Mientras hago ejercicio, En reuniones o fiestas","Spotify, YouTube Music","Instagram, TikTok, YouTube",3.0000
3,"En casa, En la universidad, En el transporte público, Mientras hago ejercicio, En reuniones o fiestas","Spotify, YouTube Music","Instagram, YouTube, Facebook",3.0000
3,"En casa, En la universidad, En el transporte público, Mientras hago ejercicio, En reuniones o fiestas","YouTube Music","Instagram, YouTube",3.0000
3,"En casa, En la universidad, En transporte propio","Apple Music","Instagram, TikTok",3.0000
3,"En casa, En transporte propio, Mientras hago ejercicio, En reuniones o fiestas",Spotify,"No estoy al tanto de las tendencias",3.0000
3,"En el trabajo, En el transporte público, Mientras hago ejercicio",Spotify,"TikTok, Facebook",3.0000
2,"En casa, En el trabajo, En el transporte público, Mientras hago ejercicio","YouTube Music","TikTok, YouTube, Facebook",1.0000
2,"En casa, En el transporte público, En transporte propio, Mientras hago ejercicio, En reuniones o fiestas","Apple Music","Instagram, TikTok, Twitter/X",3.0000
2,"En casa, En el transporte público, Mientras hago ejercicio",Spotify,"Instagram, Facebook",1.0000
2,"En casa, En el transporte público, Mientras hago ejercicio","Spotify, YouTube Music","Instagram, TikTok",2.0000
2,"En casa, En el transporte público, Mientras hago ejercicio, En reuniones o fiestas",Spotify,"No estoy al tanto de las tendencias",3.0000
2,"En casa, En el transporte público, Mientras hago ejercicio, En reuniones o fiestas","YouTube Music",TikTok,2.0000
2,"En casa, En la universidad, En el trabajo, En el transporte público, En reuniones o fiestas",Spotify,"TikTok, Twitter/X",3.0000
2,"En casa, En la universidad, En el trabajo, En el transporte público, En transporte propio, En reuniones o fiestas","Apple Music, Apple music","Instagram, TikTok, YouTube, Facebook",3.0000
2,"En casa, En la universidad, En el trabajo, En el transporte público, En transporte propio, Mientras hago ejercicio",Spotify,"Instagram, TikTok, Facebook",3.0000
2,"En casa, En la universidad, En el trabajo, En el transporte público, En transporte propio, Mientras hago ejercicio",Spotify,"TikTok, Twitter/X",3.0000
2,"En casa, En la universidad, En el trabajo, En el transporte público, En transporte propio, Mientras hago ejercicio","Spotify, YouTube Music","Instagram, TikTok, YouTube",3.0000
2,"En casa, En la universidad, En el trabajo, En el transporte público, En transporte propio, Mientras hago ejercicio, En reuniones o fiestas",Spotify,TikTok,2.0000
2,"En casa, En la universidad, En el trabajo, En el transporte público, En transporte propio, Mientras hago ejercicio, En reuniones o fiestas","Spotify, YouTube Music","TikTok, YouTube",3.0000
2,"En casa, En la universidad, En el trabajo, En el transporte público, En transporte propio, Mientras hago ejercicio, En reuniones o fiestas","Spotify, YouTube Music, Deezer","Instagram, YouTube, Facebook",2.0000
2,"En casa, En la universidad, En el trabajo, En el transporte público, En transporte propio, Mientras hago ejercicio, En reuniones o fiestas","YouTube Music, No utilizo plataformas de streaming para escuchar música",YouTube,3.0000
2,"En casa, En la universidad, En el trabajo, En el transporte público, Mientras hago ejercicio",Spotify,"Twitter/X, YouTube",3.0000
2,"En casa, En la universidad, En el trabajo, En el transporte público, Mientras hago ejercicio, En reuniones o fiestas","Spotify, YouTube Music","TikTok, YouTube",3.0000
2,"En casa, En la universidad, En el trabajo, En transporte propio, Mientras hago ejercicio",Spotify,Instagram,2.0000
2,"En casa, En la universidad, En el trabajo, En transporte propio, Mientras hago ejercicio, En reuniones o fiestas","Spotify, Apple Music, YouTube Music, Amazon Music, Apple music","Instagram, TikTok, Twitter/X, YouTube, Facebook",2.0000
2,"En casa, En la universidad, En el transporte público","Apple Music","Instagram, TikTok",3.0000
2,"En casa, En la universidad, En el transporte público","Apple Music, YouTube Music","Instagram, TikTok",3.0000
2,"En casa, En la universidad, En el transporte público",Spotify,"Instagram, TikTok",3.0000
2,"En casa, En la universidad, En el transporte público","Spotify, YouTube Music","Instagram, TikTok",3.0000
2,"En casa, En la universidad, En el transporte público","Spotify, YouTube Music","Instagram, Twitter/X",3.0000
2,"En casa, En la universidad, En el transporte público, En transporte propio, Mientras hago ejercicio, En reuniones o fiestas","Apple Music","Instagram, TikTok, YouTube",3.0000
2,"En casa, En la universidad, En el transporte público, En transporte propio, Mientras hago ejercicio, En reuniones o fiestas","Apple Music, YouTube Music, Apple music","Instagram, TikTok",3.0000
2,"En casa, En la universidad, En el transporte público, En transporte propio, Mientras hago ejercicio, En reuniones o fiestas",Spotify,"Instagram, TikTok",2.5000
2,"En casa, En la universidad, En el transporte público, En transporte propio, Mientras hago ejercicio, En reuniones o fiestas","Spotify, Apple Music, Apple music","Instagram, TikTok, YouTube",3.0000
2,"En casa, En la universidad, En el transporte público, Mientras hago ejercicio",Spotify,TikTok,3.0000
2,"En casa, En la universidad, En el transporte público, Mientras hago ejercicio","Spotify, Apple Music",TikTok,3.0000
2,"En casa, En la universidad, En el transporte público, Mientras hago ejercicio","Spotify, YouTube Music","Instagram, TikTok, YouTube, Facebook",3.0000
2,"En casa, En la universidad, En el transporte público, Mientras hago ejercicio, En reuniones o fiestas",Spotify,"Instagram, TikTok",3.0000
2,"En casa, En la universidad, En reuniones o fiestas","Spotify, Amazon Music","Instagram, TikTok, YouTube",3.0000
2,"En casa, En la universidad, En transporte propio, En reuniones o fiestas","Spotify, YouTube Music","TikTok, YouTube",3.0000
2,"En casa, En la universidad, En transporte propio, Mientras hago ejercicio, En reuniones o fiestas","Apple Music, YouTube Music",TikTok,3.0000
2,"En casa, En la universidad, En transporte propio, Mientras hago ejercicio, En reuniones o fiestas",Spotify,TikTok,3.0000
2,"En casa, En la universidad, Mientras hago ejercicio","Apple Music","Instagram, TikTok",3.0000
2,"En casa, En la universidad, Mientras hago ejercicio",Spotify,TikTok,2.0000
2,"En casa, En transporte propio, Mientras hago ejercicio","Spotify, YouTube Music","Instagram, TikTok",3.0000
2,"En casa, Mientras hago ejercicio, En reuniones o fiestas","YouTube Music, Deezer","TikTok, YouTube",2.0000
2,"En el transporte público",Spotify,"TikTok, YouTube, Facebook",3.0000
1,"En casa","Spotify, YouTube Music","Instagram, YouTube, Facebook",3.0000
1,"En casa, En el trabajo, En el transporte público, En transporte propio, Mientras hago ejercicio, En reuniones o fiestas","Spotify, Apple Music, YouTube Music","Instagram, Twitter/X, YouTube",2.0000
1,"En casa, En el trabajo, Mientras hago ejercicio, En reuniones o fiestas, Manejando",Spotify,"Instagram, TikTok",3.0000
1,"En casa, En el transporte público, En transporte propio, Mientras hago ejercicio","Spotify, YouTube Music, Musica formsto mp3 xD","No estoy al tanto de las tendencias",3.0000
1,"En casa, En el transporte público, Mientras hago ejercicio","Spotify, YouTube Music","TikTok, YouTube",2.0000
1,"En casa, En el transporte público, Mientras hago ejercicio, En reuniones o fiestas","Spotify, YouTube Music",TikTok,2.0000
1,"En casa, En la universidad",Spotify,"TikTok, YouTube",2.0000
1,"En casa, En la universidad, En el trabajo, En el transporte público, En transporte propio, En reuniones o fiestas","Spotify, Apple Music","Instagram, TikTok, YouTube",3.0000
1,"En casa, En la universidad, En el trabajo, En el transporte público, En transporte propio, Mientras hago ejercicio, En reuniones o fiestas","Apple Music, Apple music",TikTok,2.0000
1,"En casa, En la universidad, En el trabajo, En transporte propio, Mientras hago ejercicio, En reuniones o fiestas","Spotify, YouTube Music","Instagram, TikTok, Twitter/X",3.0000
1,"En casa, En la universidad, En el trabajo, Mientras hago ejercicio",Spotify,TikTok,2.0000
1,"En casa, En la universidad, En el transporte público, En transporte propio, Mientras hago ejercicio, En reuniones o fiestas","Spotify, Trebel","Instagram, TikTok",3.0000
1,"En casa, En la universidad, En el transporte público, En transporte propio, Mientras hago ejercicio, En reuniones o fiestas","Spotify, YouTube Music",Twitter/X,3.0000
1,"En casa, En la universidad, En el transporte público, Mientras hago ejercicio","Apple Music, YouTube Music","Instagram, TikTok",3.0000
1,"En casa, En la universidad, En el transporte público, Mientras hago ejercicio",Spotify,"TikTok, YouTube",2.0000
1,"En casa, En la universidad, En el transporte público, Mientras hago ejercicio, En reuniones o fiestas",Spotify,"TikTok, YouTube",2.0000
1,"En casa, En la universidad, En transporte propio, En reuniones o fiestas",Spotify,"Instagram, TikTok, Twitter/X, YouTube",2.0000
1,"En casa, En la universidad, En transporte propio, Mientras hago ejercicio, En reuniones o fiestas",Spotify,"Instagram, TikTok, YouTube",2.0000
1,"En casa, En la universidad, Mientras hago ejercicio","Spotify, Apple Music",TikTok,3.0000
1,"En casa, En transporte propio, Mientras hago ejercicio","Apple Music","Instagram, Twitter/X",3.0000
1,"En casa, En transporte propio, Mientras hago ejercicio","Spotify, YouTube Music","Instagram, Facebook",3.0000
1,"En casa, En transporte propio, Mientras hago ejercicio, En reuniones o fiestas","Apple Music, Apple music","No estoy al tanto de las tendencias",3.0000
1,"En casa, En transporte propio, Mientras hago ejercicio, En reuniones o fiestas","Spotify, YouTube Music","Instagram, TikTok",3.0000
1,"En casa, Mientras hago ejercicio","Spotify, YouTube Music",YouTube,2.0000
1,"En transporte propio, Mientras hago ejercicio, En reuniones o fiestas","Amazon Music",TikTok,2.0000
1,"En transporte propio, Mientras hago ejercicio, En reuniones o fiestas","Apple Music","Instagram, TikTok, YouTube",3.0000
0,"En casa, En el trabajo, En el transporte público",Spotify,TikTok,2.0000
0,"En casa, En la universidad, En transporte propio, Mientras hago ejercicio, En reuniones o fiestas","Spotify, Apple Music, YouTube Music, Amazon Music","Instagram, TikTok, YouTube",2.0000
